Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,2020/06/28,24,MD,24015,Cecil County,20695,82160,323446,78267,69592,37141,56138,49351,19302,9528,3079,708,340
County,2020/06/28,24,MD,24013,Carroll County,34405,134042,530701,130684,133374,61161,67893,83840,34803,11889,5613,497,947
County,2020/06/28,24,MD,24011,Caroline County,6287,27119,113536,25966,22437,14018,16281,22398,7845,3340,861,332,58
County,2020/06/28,24,MD,24009,Calvert County,19693,72832,294022,62053,69859,36788,45192,48587,21675,6597,2451,722,98
County,2020/06/28,24,MD,24005,Baltimore County,199675,627695,2463601,670377,612473,300712,365644,349464,100746,39378,20196,3526,1085
County,2020/06/28,24,MD,24003,Anne Arundel County,135278,443956,1732429,484481,419868,203087,244659,227467,97345,32451,17479,3654,1938
County,2020/06/28,24,MD,24001,Allegany County,17112,53304,202198,50957,48608,26663,37714,21493,8889,4992,2521,314,47
County,2020/06/29,24,MD,24001,Allegany County,16468,53948,220345,52429,60083,29750,37983,24304,7677,5779,2028,266,46
County,2020/06/29,24,MD,24003,Anne Arundel County,133454,445780,1832247,503252,399641,199599,272637,295655,116635,27542,12175,3212,1899
County,2020/06/29,24,MD,24005,Baltimore County,195818,631552,2550943,690411,589360,285580,393201,405827,123099,44683,14123,3316,1343
County,2020/06/29,24,MD,24009,Calvert County,18781,73744,318628,82171,70396,31232,39115,52343,31798,10135,1171,150,117
County,2020/06/29,24,MD,24011,Caroline County,5729,27677,124923,24314,24389,19997,13969,22480,13588,4625,1362,160,39
County,2020/06/29,24,MD,24013,Carroll County,31564,136883,555081,122008,135047,56242,69291,99275,55210,12401,3762,786,1059
County,2020/06/29,24,MD,24015,Cecil County,18677,84178,362359,84397,74767,39358,54232,66509,26588,12056,3465,736,251
County,2020/06/29,24,MD,24017,Charles County,32368,130889,560913,132382,133230,60249,72524,99611,52443,8066,1724,435,249
County,2020/06/29,24,MD,24019,Dorchester County,5433,26496,128540,28754,32462,14183,14788,24011,9267,3955,928,145,47
County,2020/06/29,24,MD,24021,Frederick County,53866,205681,839932,230017,184401,85767,106924,111646,82733,32113,3805,1921,605
County,2020/06/29,24,MD,24023,Garrett County,4411,24603,113474,25543,27298,13512,21261,15409,6630,2134,1297,220,170
County,2020/06/29,24,MD,24025,Harford County,51637,203804,858086,217597,192515,90503,120071,146410,63399,20956,5698,516,421
County,2020/06/29,24,MD,24027,Howard County,72847,252843,1070730,293271,254529,122815,158657,176537,44215,11431,6219,1474,1582
County,2020/06/29,24,MD,24029,Kent County,3507,15915,70020,16737,16753,7621,9566,12374,5377,1066,447,51,28
County,2020/06/29,24,MD,24031,Montgomery County,284087,766601,3073064,883341,683850,359688,451885,484977,154469,28076,18841,3861,4076
County,2020/06/29,24,MD,24033,Prince George's County,219653,689674,2820798,814961,572437,291860,462906,498727,132723,26522,13725,4451,2486
County,2020/06/29,24,MD,24035,Queen Anne's County,8000,42381,183514,33590,42407,20358,25064,34421,18596,7912,882,159,125
County,2020/06/29,24,MD,24037,St. Mary's County,20321,93189,403403,91516,90502,47150,63353,73418,24165,10627,2119,383,170
County,2020/06/29,24,MD,24039,Somerset County,4684,20932,102910,24928,21812,8462,13483,20824,10214,2166,835,183,3
County,2020/06/29,24,MD,24041,Talbot County,7690,29491,136029,34405,32805,14211,19959,22021,7089,4922,512,57,48
County,2020/06/29,24,MD,24043,Washington County,31974,119075,495135,125493,117039,58401,66558,60621,35726,23821,5661,1534,281
County,2020/06/29,24,MD,24045,Wicomico County,22231,81378,359779,89889,84919,47651,50024,48198,29387,5735,3575,260,141
County,2020/06/29,24,MD,24047,Worcester County,11572,40704,186396,49462,50465,21801,27408,21179,10249,2111,3495,190,36
County,2020/06/29,24,MD,24510,Baltimore city,182337,411153,1820137,644615,428278,215504,261605,173857,67018,17682,8680,1577,1321
County,2020/06/30,24,MD,24001,Allegany County,15612,54804,224199,54918,56660,27818,35616,29854,9151,7211,2535,375,61
County,2020/06/30,24,MD,24003,Anne Arundel County,129199,450035,1880471,547664,396177,205331,268039,296175,121772,28549,11205,3059,2500
County,2020/06/30,24,MD,24005,Baltimore County,189511,637859,2570785,694721,572062,295578,417853,403348,125271,42985,15521,2385,1061
County,2020/06/30,24,MD,24009,Calvert County,17283,75242,293163,65545,63068,31291,41058,48609,32988,8985,1227,201,191
County,2020/06/30,24,MD,24011,Caroline County,5778,27628,124033,29548,27904,14409,11212,23559,10923,5024,1038,311,105
County,2020/06/30,24,MD,24013,Carroll County,30682,137765,550431,128138,128377,53754,68024,99840,51895,15440,3637,547,779
County,2020/06/30,24,MD,24015,Cecil County,18301,84554,360882,85760,76953,38824,53438,65240,25021,10672,3860,890,224
County,2020/06/30,24,MD,24017,Charles County,31632,131625,516742,109824,114415,58168,70551,100871,52460,7013,2636,566,238
County,2020/06/30,24,MD,24019,Dorchester County,5331,26598,131579,28800,32871,13889,16279,22629,11650,4473,725,234,29
County,2020/06/30,24,MD,24021,Frederick County,52158,207389,840347,228197,176174,82801,108000,122433,85234,30411,4937,1384,776
County,2020/06/30,24,MD,24023,Garrett County,4342,24672,112997,25329,26982,11635,22518,16282,6404,2220,1380,135,112
County,2020/06/30,24,MD,24025,Harford County,50293,205148,836280,197833,174633,93744,128877,151348,60545,22968,4981,845,506
County,2020/06/30,24,MD,24027,Howard County,70354,255336,1015418,267358,233579,118287,151079,174045,47476,13695,6855,1326,1718
County,2020/06/30,24,MD,24029,Kent County,3557,15865,66885,14848,14650,6769,9474,12336,6522,1781,460,26,19
County,2020/06/30,24,MD,24031,Montgomery County,273950,776738,2912164,821187,638150,356322,448157,440658,148307,29341,20956,4772,4314
County,2020/06/30,24,MD,24033,Prince George's County,214027,695300,2638462,726123,538911,293726,433601,476327,123688,23154,16544,3752,2636
County,2020/06/30,24,MD,24035,Queen Anne's County,7880,42501,171130,27012,34451,20908,21650,36586,19143,10080,1048,133,119
County,2020/06/30,24,MD,24037,St. Mary's County,19330,94180,404669,92741,97443,45048,62533,69501,25308,9866,1732,261,236
County,2020/06/30,24,MD,24039,Somerset County,4513,21103,105382,28096,22267,6437,15240,21942,8090,2224,993,90,3
County,2020/06/30,24,MD,24041,Talbot County,7262,29919,134031,30858,32939,15565,18236,22143,8283,5374,426,86,121
County,2020/06/30,24,MD,24043,Washington County,31299,119750,495721,117809,116735,62375,71799,61317,35003,20881,8092,1521,189
County,2020/06/30,24,MD,24045,Wicomico County,22712,80897,371277,91945,84380,51824,49966,50937,30936,6998,3850,366,75
County,2020/06/30,24,MD,24047,Worcester County,11806,40470,190314,53315,48400,20822,29386,23109,10408,2123,2569,115,67
County,2020/06/30,24,MD,24510,Baltimore city,181546,411944,1801389,628057,429710,217153,259596,166632,63150,22111,11967,1922,1091
County,2020/07/01,24,MD,24001,Allegany County,15555,54861,230829,57302,59663,30591,36990,29572,7690,6150,2242,518,111
County,2020/07/01,24,MD,24003,Anne Arundel County,126665,452569,1812034,481682,397954,203019,271871,291313,118663,28792,13126,3110,2504
County,2020/07/01,24,MD,24005,Baltimore County,189434,637936,2613224,699337,606415,294570,407200,411958,132687,40821,16093,2604,1539
County,2020/07/01,24,MD,24009,Calvert County,17999,74526,309887,68017,68918,32701,40705,54392,33347,9865,1475,312,155
County,2020/07/01,24,MD,24011,Caroline County,5768,27638,125168,26178,24650,16984,15099,24883,10708,5082,1123,379,82
County,2020/07/01,24,MD,24013,Carroll County,30275,138172,567893,137431,131725,50892,70607,101484,56325,13271,4375,902,881
County,2020/07/01,24,MD,24015,Cecil County,17822,85033,358678,82078,79151,37097,58564,61737,24801,10697,3450,801,302
County,2020/07/01,24,MD,24017,Charles County,30475,132782,536334,115691,127278,56452,74268,104500,47106,8146,1982,674,237
County,2020/07/01,24,MD,24019,Dorchester County,5054,26875,123779,25055,30558,13166,15859,24773,8664,4479,937,245,43
County,2020/07/01,24,MD,24021,Frederick County,50403,209144,856511,234957,185512,85714,109842,120099,82429,30181,5002,1740,1035
County,2020/07/01,24,MD,24023,Garrett County,4342,24672,111211,22151,27630,12537,22892,16758,5171,2102,1575,287,108
County,2020/07/01,24,MD,24025,Harford County,48805,206636,851237,210717,181822,91456,125000,151843,63735,19656,5708,760,540
County,2020/07/01,24,MD,24027,Howard County,68048,257642,1040179,274806,238473,120827,158631,178934,45377,11830,6437,2279,2585
County,2020/07/01,24,MD,24029,Kent County,3155,16267,67926,15698,15127,8337,9066,13391,3906,1623,736,16,26
County,2020/07/01,24,MD,24031,Montgomery County,271230,779458,2979161,857927,662834,366302,442423,449027,141756,27955,20241,5720,4976
County,2020/07/01,24,MD,24033,Prince George's County,209645,699682,2767180,804680,575491,288179,443637,473481,127911,25719,20411,4843,2828
County,2020/07/01,24,MD,24035,Queen Anne's County,7375,43006,175651,32859,35397,22160,25396,33192,16753,7875,1701,281,37
County,2020/07/01,24,MD,24037,St. Mary's County,19565,93945,404905,89632,95542,50075,61037,73539,22513,9531,2366,419,251
County,2020/07/01,24,MD,24039,Somerset County,4323,21293,110940,26564,24298,10246,16879,21690,8211,1933,1027,86,6
County,2020/07/01,24,MD,24041,Talbot County,7752,29429,127797,26347,27259,16879,22338,22949,6238,5084,489,110,104
County,2020/07/01,24,MD,24043,Washington County,31055,119994,585658,201021,130813,61067,69393,56793,36227,21223,7252,1585,284
County,2020/07/01,24,MD,24045,Wicomico County,21920,81689,354414,86981,85195,48032,50952,42774,29761,6951,3294,395,79
County,2020/07/01,24,MD,24047,Worcester County,10649,41627,189118,49891,50410,21203,28254,23587,10517,2227,2781,205,43
County,2020/07/01,24,MD,24510,Baltimore city,178403,415087,1855638,655396,439166,222238,266898,174189,61831,18721,13789,1997,1413
County,2020/07/02,24,MD,24001,Allegany County,16631,53785,278594,71302,66998,30464,50490,34145,13019,8523,3223,379,51
County,2020/07/02,24,MD,24003,Anne Arundel County,132849,446385,2037390,556378,457866,232567,291993,325306,122949,30937,14395,3277,1722
County,2020/07/02,24,MD,24005,Baltimore County,196310,631060,2884148,755252,658770,323852,471398,468433,135712,49079,16396,3425,1831
County,2020/07/02,24,MD,24009,Calvert County,19335,73190,346740,77735,86695,35574,43335,58616,33400,9444,1694,193,54
County,2020/07/02,24,MD,24011,Caroline County,6109,27297,140519,33261,31672,15849,14652,27726,11219,4897,984,198,61
County,2020/07/02,24,MD,24013,Carroll County,32896,135551,625738,150863,149680,63559,71222,106418,63072,15175,4462,462,825
County,2020/07/02,24,MD,24015,Cecil County,20436,82419,426304,105437,94058,43807,62006,75381,27845,12249,4378,770,373
County,2020/07/02,24,MD,24017,Charles County,31518,131739,586341,128622,139530,65167,71348,111001,59242,8706,2102,456,167
County,2020/07/02,24,MD,24019,Dorchester County,5362,26567,146716,35936,34251,14834,16885,28485,10395,4889,798,207,36
County,2020/07/02,24,MD,24021,Frederick County,53712,205835,954738,270573,207303,97679,121688,124106,93192,31491,6493,1718,495
County,2020/07/02,24,MD,24023,Garrett County,4139,24875,122762,25156,34214,11984,21022,20184,6072,2350,1596,99,85
County,2020/07/02,24,MD,24025,Harford County,53006,202435,973600,254713,216344,104261,140225,162606,65537,22556,6067,958,333
County,2020/07/02,24,MD,24027,Howard County,72660,253030,1160856,318635,267066,123807,180809,193500,51740,13438,8345,1864,1652
County,2020/07/02,24,MD,24029,Kent County,4084,15338,77949,17712,15826,12011,10503,13292,6393,1655,542,7,8
County,2020/07/02,24,MD,24031,Montgomery County,277960,772728,3368313,966883,779656,387585,508334,502365,165516,32567,15628,4947,4832
County,2020/07/02,24,MD,24033,Prince George's County,217937,691390,3096665,888779,631775,328548,516611,543228,142101,26727,13623,3471,1802
County,2020/07/02,24,MD,24035,Queen Anne's County,8585,41796,181390,36520,37034,21631,23306,34934,17159,9251,1318,155,82
County,2020/07/02,24,MD,24037,St. Mary's County,20450,93060,441408,102260,113876,50700,68380,67442,24540,12099,1672,263,176
County,2020/07/02,24,MD,24039,Somerset County,4653,20963,116603,28839,23124,10330,17844,22291,10992,2112,903,163,5
County,2020/07/02,24,MD,24041,Talbot County,7635,29546,145479,36017,35052,18959,18301,24221,6616,5846,318,98,51
County,2020/07/02,24,MD,24043,Washington County,34227,116822,552481,138041,127250,62453,77264,72098,42247,23090,8123,1570,345
County,2020/07/02,24,MD,24045,Wicomico County,23515,80094,415362,104838,103509,50060,56245,58391,34773,4769,2462,231,84
County,2020/07/02,24,MD,24047,Worcester County,12496,39780,201262,51568,56077,22397,31239,23204,10948,2535,3003,263,28
County,2020/07/02,24,MD,24510,Baltimore city,181746,411744,2038689,717259,483989,242159,308795,191006,66287,15904,10637,1792,861
County,2020/07/03,24,MD,24001,Allegany County,16436,53980,248080,60369,59167,34100,40898,29843,13820,7099,2299,444,41
County,2020/07/03,24,MD,24003,Anne Arundel County,140492,438742,1995048,565070,443870,226348,275958,311872,115016,34693,16971,3598,1652
County,2020/07/03,24,MD,24005,Baltimore County,205912,621458,2823818,788232,638943,323049,436211,430900,135517,47046,18695,3741,1484
County,2020/07/03,24,MD,24009,Calvert County,20157,72368,333165,79241,74499,34566,45168,55773,31837,9827,1731,424,99
County,2020/07/03,24,MD,24011,Caroline County,6382,27024,125494,28466,25207,13112,15804,23879,11271,6257,1156,305,37
County,2020/07/03,24,MD,24013,Carroll County,35390,133057,589209,133446,147268,54569,78085,98928,54197,15570,5641,687,818
County,2020/07/03,24,MD,24015,Cecil County,21522,81333,411913,102805,94028,39225,62067,71528,25605,11541,4191,685,238
County,2020/07/03,24,MD,24017,Charles County,32681,130576,597089,126349,137752,72848,76868,112349,59329,8510,2238,715,131
County,2020/07/03,24,MD,24019,Dorchester County,5987,25942,143144,38406,34774,11925,15036,25694,10939,4988,1182,173,27
County,2020/07/03,24,MD,24021,Frederick County,57075,202472,900429,255036,185853,92946,118890,121887,85407,32150,6047,1628,585
County,2020/07/03,24,MD,24023,Garrett County,5038,23976,113201,22120,27872,13035,20738,20595,5361,1766,1422,204,88
County,2020/07/03,24,MD,24025,Harford County,54216,201225,932122,235481,205991,103146,140654,153840,64873,20822,6172,699,444
County,2020/07/03,24,MD,24027,Howard County,72391,253299,1119508,332948,241901,114384,172127,184430,46763,14661,8569,2293,1432
County,2020/07/03,24,MD,24029,Kent County,3517,15905,71849,15410,16722,8524,8932,14229,6003,1473,519,14,23
County,2020/07/03,24,MD,24031,Montgomery County,281029,769659,3260630,958470,724092,387291,466834,497219,160806,36246,19601,4849,5222
County,2020/07/03,24,MD,24033,Prince George's County,221512,687815,3006151,867291,627015,325462,486674,526575,127018,25801,15115,3517,1683
County,2020/07/03,24,MD,24035,Queen Anne's County,9124,41257,192408,39487,44498,23903,26013,34361,15508,7047,1120,338,133
County,2020/07/03,24,MD,24037,St. Mary's County,22078,91432,436822,91046,114886,51577,66064,73102,25386,10666,3522,384,189
County,2020/07/03,24,MD,24039,Somerset County,4862,20754,108609,27875,21908,8134,14147,22298,9994,2904,1074,270,5
County,2020/07/03,24,MD,24041,Talbot County,8352,28829,146119,37707,35516,16121,20849,23806,7039,4465,440,131,45
County,2020/07/03,24,MD,24043,Washington County,36700,114349,532197,141626,118820,62569,77029,64556,34984,22333,8360,1585,335
County,2020/07/03,24,MD,24045,Wicomico County,24081,79528,394690,98485,101520,48308,53743,51650,32708,5408,2480,308,80
County,2020/07/03,24,MD,24047,Worcester County,13226,39050,194011,53432,50735,20896,28702,23099,11702,2395,2764,259,27
County,2020/07/03,24,MD,24510,Baltimore city,184325,409165,1961338,677812,463402,244782,290423,189617,64438,16955,10835,1887,1187
County,2020/07/04,24,MD,24001,Allegany County,17064,53352,212237,51647,50619,29173,34989,25531,11823,6073,1967,380,35
County,2020/07/04,24,MD,24003,Anne Arundel County,146669,432565,1706812,483431,379742,193646,236089,266814,98399,29681,14519,3078,1413
County,2020/07/04,24,MD,24005,Baltimore County,212909,614461,2415843,674352,546631,276376,373189,368645,115938,40249,15994,3200,1269
County,2020/07/04,24,MD,24009,Calvert County,22261,70264,285031,67793,63736,29572,38642,47715,27237,8408,1481,362,85
County,2020/07/04,24,MD,24011,Caroline County,7454,25952,107362,24353,21565,11217,13521,20429,9643,5353,989,261,31
County,2020/07/04,24,MD,24013,Carroll County,37909,130538,504081,114166,125991,46685,66803,84635,46367,13320,4826,588,700
County,2020/07/04,24,MD,24015,Cecil County,23701,79154,352401,87952,80443,33558,53100,61194,21906,9873,3586,586,203
County,2020/07/04,24,MD,24017,Charles County,35168,128089,510825,108095,117850,62323,65763,96118,50757,7280,1915,612,112
County,2020/07/04,24,MD,24019,Dorchester County,6396,25533,122463,32858,29750,10202,12863,21982,9359,4267,1011,148,23
County,2020/07/04,24,MD,24021,Frederick County,60068,199479,770340,218189,159002,79518,101714,104278,73068,27505,5173,1393,500
County,2020/07/04,24,MD,24023,Garrett County,5027,23987,96846,18924,23845,11152,17741,17620,4586,1511,1217,174,76
County,2020/07/04,24,MD,24025,Harford County,57310,198131,797454,201460,176230,88244,120333,131614,55501,17814,5280,598,380
County,2020/07/04,24,MD,24027,Howard County,75723,249967,957767,284845,206953,97858,147259,157784,40007,12543,7331,1962,1225
County,2020/07/04,24,MD,24029,Kent County,4146,15276,61469,13183,14306,7292,7642,12174,5136,1260,444,12,20
County,2020/07/04,24,MD,24031,Montgomery County,297544,753144,2789548,819994,619479,331337,399388,425383,137573,31009,16769,4148,4468
County,2020/07/04,24,MD,24033,Prince George's County,228650,680677,2571834,741988,536426,278441,416361,450497,108667,22073,12932,3009,1440
County,2020/07/04,24,MD,24035,Queen Anne's County,10616,39765,164609,33782,38069,20449,22254,29397,13268,6029,958,289,114
County,2020/07/04,24,MD,24037,St. Mary's County,23944,89566,373710,77892,98288,44125,56519,62540,21718,9125,3013,328,162
County,2020/07/04,24,MD,24039,Somerset County,5410,20206,92917,23848,18743,6959,12103,19076,8550,2484,919,231,4
County,2020/07/04,24,MD,24041,Talbot County,8915,28266,125009,32260,30385,13792,17837,20367,6022,3820,376,112,38
County,2020/07/04,24,MD,24043,Washington County,38229,112820,455307,121164,101653,53530,65900,55229,29929,19107,7152,1356,287
County,2020/07/04,24,MD,24045,Wicomico County,24516,79093,337667,84256,86853,41329,45978,44188,27982,4627,2122,264,68
County,2020/07/04,24,MD,24047,Worcester County,13652,38624,165982,45713,43405,17877,24556,19762,10011,2049,2365,221,23
County,2020/07/04,24,MD,24510,Baltimore city,194108,399382,1677971,579884,396452,209417,248463,162222,55128,14505,9269,1615,1016
County,2020/07/05,24,MD,24001,Allegany County,17114,53302,183692,43807,40888,27572,36024,22544,6587,3639,2094,375,162
County,2020/07/05,24,MD,24003,Anne Arundel County,138849,440385,1687370,490225,397574,190518,242430,223646,80559,30517,24519,4167,3215
County,2020/07/05,24,MD,24005,Baltimore County,204131,623239,2334769,631571,580338,285739,368623,304556,97313,39030,21868,4052,1679
County,2020/07/05,24,MD,24009,Calvert County,19647,72878,271772,58196,61567,30870,41207,45093,23864,7537,2844,399,195
County,2020/07/05,24,MD,24011,Caroline County,6093,27313,115514,26579,25815,17067,13618,20164,6118,4226,1266,555,106
County,2020/07/05,24,MD,24013,Carroll County,34380,134067,517534,130062,132902,50038,65739,83668,34017,13081,6380,637,1010
County,2020/07/05,24,MD,24015,Cecil County,21711,81144,318954,72081,76353,36998,52671,51356,16219,8294,3846,757,379
County,2020/07/05,24,MD,24017,Charles County,32834,130423,467041,101088,108887,52321,69336,80456,38726,9583,5268,1148,228
County,2020/07/05,24,MD,24019,Dorchester County,5820,26109,110011,24674,26174,13743,13943,20181,7295,2898,907,138,58
County,2020/07/05,24,MD,24021,Frederick County,54745,204802,749727,200511,171673,80646,108060,98553,56070,22945,8322,1922,1025
County,2020/07/05,24,MD,24023,Garrett County,4749,24265,104118,18098,27114,13016,19924,17742,5153,1389,1317,222,143
County,2020/07/05,24,MD,24025,Harford County,52976,202465,743267,174190,178321,105456,111574,108633,40370,16137,6882,765,939
County,2020/07/05,24,MD,24027,Howard County,73971,251719,913726,260749,216122,114266,131404,132271,32538,12205,8585,2599,2987
County,2020/07/05,24,MD,24029,Kent County,4059,15363,67603,19494,16116,9276,7407,10442,3262,1221,345,19,21
County,2020/07/05,24,MD,24031,Montgomery County,285082,765606,2748147,800074,645036,338569,404929,345948,128231,40963,30818,7220,6359
County,2020/07/05,24,MD,24033,Prince George's County,227402,681925,2421181,640088,535409,285563,396534,391308,106893,32283,23586,5644,3873
County,2020/07/05,24,MD,24035,Queen Anne's County,9622,40759,150308,31896,34933,20301,20034,24076,10431,6503,1691,326,117
County,2020/07/05,24,MD,24037,St. Mary's County,21721,91789,356947,84970,88788,42733,59613,52992,12973,9110,4455,505,808
County,2020/07/05,24,MD,24039,Somerset County,4985,20631,88976,22843,20339,7978,12185,14271,8366,1705,1269,0,20
County,2020/07/05,24,MD,24041,Talbot County,8348,28833,115305,25300,30661,14733,18136,16959,5175,3075,836,312,118
County,2020/07/05,24,MD,24043,Washington County,35541,115508,411717,95180,105030,54943,63063,47584,23171,15488,5771,1260,227
County,2020/07/05,24,MD,24045,Wicomico County,24140,79469,304580,76682,65744,41147,41242,41788,26552,7072,3551,614,188
County,2020/07/05,24,MD,24047,Worcester County,11483,40793,168251,44089,47316,19330,25987,18342,8029,2501,2478,131,48
County,2020/07/05,24,MD,24510,Baltimore city,189640,403850,1653901,566946,396771,204483,243807,154576,51415,18745,13638,2134,1386
County,2020/07/06,24,MD,24031,Montgomery County,288648,762040,2739873,783455,613129,341135,414212,391341,139802,28111,17112,6835,4741
County,2020/07/06,24,MD,24033,Prince George's County,225187,684140,2573958,720176,535465,286042,416405,449214,117923,26347,14365,4298,3723
County,2020/07/06,24,MD,24035,Queen Anne's County,8803,41578,152924,32773,33004,16554,18628,26547,15742,7919,1430,263,64
County,2020/07/06,24,MD,24037,St. Mary's County,21991,91519,351602,75630,88512,41905,54079,59854,20523,8144,2133,412,410
County,2020/07/06,24,MD,24039,Somerset County,4840,20776,100617,26501,22857,6802,13914,20118,6704,2732,871,109,9
County,2020/07/06,24,MD,24041,Talbot County,7942,29239,108358,25613,25695,11676,16113,18407,5579,4519,611,60,85
County,2020/07/06,24,MD,24043,Washington County,33976,117073,455537,106772,110690,56434,66470,56830,30996,19691,6002,1438,214
County,2020/07/06,24,MD,24045,Wicomico County,23260,80349,318490,73484,77248,41751,45695,42766,27908,5712,3328,423,175
County,2020/07/06,24,MD,24047,Worcester County,12027,40249,162284,45335,43674,17217,24648,15800,8941,2382,4018,234,35
County,2020/07/06,24,MD,24510,Baltimore city,185448,408042,1724292,585410,401073,215984,260663,166725,59152,19022,12339,2484,1440
County,2020/07/06,24,MD,24029,Kent County,3819,15603,60202,15730,14774,5870,6198,10613,4895,1626,435,19,42
County,2020/07/06,24,MD,24027,Howard County,74083,251607,906596,233680,209526,115080,136513,150122,39868,11653,6374,1504,2276
County,2020/07/06,24,MD,24025,Harford County,52947,202494,772109,201123,164497,85467,115293,124973,52687,21155,5634,702,578
County,2020/07/06,24,MD,24023,Garrett County,4510,24504,99963,17685,25117,13010,20253,14163,6090,2049,1365,158,73
County,2020/07/06,24,MD,24021,Frederick County,56410,203137,764084,201325,163162,78339,102988,110666,72990,26921,5138,1793,762
County,2020/07/06,24,MD,24019,Dorchester County,5762,26167,110951,23989,26947,12260,14228,19275,9412,4083,594,142,21
County,2020/07/06,24,MD,24017,Charles County,32841,130416,485921,103394,111827,58289,67111,85523,47517,7543,3670,806,241
County,2020/07/06,24,MD,24015,Cecil County,21086,81769,317881,71375,71907,36177,52135,50278,20479,11376,3224,596,334
County,2020/07/06,24,MD,24013,Carroll County,32906,135541,500459,116265,122349,50671,59238,87430,46896,11994,4300,609,707
County,2020/07/06,24,MD,24011,Caroline County,6166,27240,103533,20540,24551,12946,11981,20152,7114,4746,1284,144,75
County,2020/07/06,24,MD,24009,Calvert County,19738,72787,257950,52606,54266,24979,38205,47132,30878,7361,1873,435,215
County,2020/07/06,24,MD,24005,Baltimore County,201387,625983,2429126,656406,553258,277066,385604,373873,116917,42249,17624,3958,2171
County,2020/07/06,24,MD,24003,Anne Arundel County,136401,442833,1650046,432737,370814,191655,243995,255218,109755,25878,14296,3009,2689
County,2020/07/06,24,MD,24001,Allegany County,16124,54292,204309,47425,55390,26470,38923,22858,6014,4917,1926,295,91
County,2020/07/07,24,MD,24001,Allegany County,16275,54141,224707,56006,61899,26818,39589,25347,6952,5531,2173,330,62
County,2020/07/07,24,MD,24003,Anne Arundel County,135638,443596,1783147,497089,394711,198084,255960,279787,114047,24115,13464,3719,2171
County,2020/07/07,24,MD,24005,Baltimore County,199869,627501,2510674,687239,554100,293317,398521,389667,118846,43646,20305,3493,1540
County,2020/07/07,24,MD,24009,Calvert County,19666,72859,278392,61148,64029,29232,34999,49581,29405,8052,1470,349,127
County,2020/07/07,24,MD,24011,Caroline County,6276,27130,116520,22118,24413,15888,13116,24745,9698,5381,970,93,98
County,2020/07/07,24,MD,24013,Carroll County,33791,134656,516710,121706,114616,47891,70966,95058,49234,12322,3636,606,675
County,2020/07/07,24,MD,24015,Cecil County,20095,82760,337968,75232,77871,33916,53074,59394,22766,11101,3600,695,319
County,2020/07/07,24,MD,24017,Charles County,33541,129716,504114,110399,120228,55469,63676,90496,52136,8170,2801,568,171
County,2020/07/07,24,MD,24019,Dorchester County,5518,26411,123965,27404,29950,13737,14798,22164,9481,5606,694,120,11
County,2020/07/07,24,MD,24021,Frederick County,55474,204073,791157,226208,164568,77156,103159,107701,73762,31239,4708,1933,723
County,2020/07/07,24,MD,24023,Garrett County,4652,24362,109296,21077,28452,12782,21638,14904,6967,2063,1112,208,93
County,2020/07/07,24,MD,24025,Harford County,52242,203199,808332,201377,165165,96847,119947,138640,57616,21785,5555,894,506
County,2020/07/07,24,MD,24027,Howard County,73950,251740,996716,258260,239236,118644,150390,168201,40516,11250,6489,1624,2106
County,2020/07/07,24,MD,24029,Kent County,3674,15748,62426,13487,13391,7842,8574,11912,5220,1664,314,7,15
County,2020/07/07,24,MD,24031,Montgomery County,288563,762125,2846167,817638,621172,337204,445835,424067,150147,25290,15252,5455,4107
County,2020/07/07,24,MD,24033,Prince George's County,223413,685914,2617524,732854,529035,288570,438726,459505,122049,23633,16387,3939,2826
County,2020/07/07,24,MD,24035,Queen Anne's County,8763,41618,162215,31255,33157,19137,21558,30087,17993,7662,1116,143,107
County,2020/07/07,24,MD,24037,St. Mary's County,22437,91073,355390,72253,85492,44976,57829,61535,20564,10702,1374,306,359
County,2020/07/07,24,MD,24039,Somerset County,4828,20788,105912,29036,23291,7743,12450,18853,11399,1911,1113,116,0
County,2020/07/07,24,MD,24041,Talbot County,7759,29422,120546,28352,31066,12562,18179,18221,6825,4472,543,255,71
County,2020/07/07,24,MD,24043,Washington County,32344,118705,452862,105504,105135,56304,67491,55015,34761,20627,6232,1533,260
County,2020/07/07,24,MD,24045,Wicomico County,22738,80871,348870,85352,86034,44478,47214,46202,30092,5439,3547,386,126
County,2020/07/07,24,MD,24047,Worcester County,12186,40090,173048,46934,49855,19330,25194,19710,7108,1819,2915,143,40
County,2020/07/07,24,MD,24510,Baltimore city,182083,411407,1812644,623902,426750,223073,271540,174520,58688,18645,12076,2303,1147
County,2020/07/08,24,MD,24001,Allegany County,15959,54457,223042,50413,58499,31035,41032,25548,8512,5171,2448,311,73
County,2020/07/08,24,MD,24003,Anne Arundel County,132718,446516,1807613,519316,381136,192390,262241,278353,130735,26827,10643,3411,2561
County,2020/07/08,24,MD,24005,Baltimore County,193953,633417,2488331,664953,555157,286906,396493,386433,127143,48476,17036,4166,1568
